,True Label,RF Time,Time
0,1.0,0.0,1613487571.1880555
1,1.0,0.0,1613487571.213476
2,1.0,0.0,1613487571.2355852
3,1.0,0.0,1613487571.2623978
4,1.0,0.0,1613487571.2946188
5,1.0,0.0,1613487571.326137
6,1.0,0.0,1613487571.359118
7,1.0,0.0,1613487571.3989296
8,1.0,0.0,1613487571.432124
9,1.0,0.0,1613487571.467259
10,1.0,0.0,1613487571.4971197
11,1.0,0.0,1613487571.5275676
12,1.0,0.0,1613487571.559525
13,1.0,0.0,1613487571.5915878
14,1.0,0.0,1613487571.6224105
15,1.0,0.0,1613487571.6483343
16,1.0,0.0,1613487571.6704307
17,1.0,0.0,1613487571.7008793
18,1.0,0.0,1613487571.73037
19,1.0,0.0,1613487571.7611766
20,1.0,0.0,1613487571.7945664
21,1.0,0.0,1613487571.8239193
22,1.0,0.0,1613487571.851628
23,1.0,0.0,1613487571.8734708
24,1.0,0.0,1613487571.9041061
25,1.0,0.0,1613487571.9358218
26,1.0,0.0,1613487571.9653065
27,1.0,0.0,1613487571.99492
28,1.0,0.0,1613487572.0275705
29,1.0,0.0,1613487572.0555859
30,1.0,0.0,1613487572.080594
31,1.0,0.0,1613487572.109774
32,1.0,0.0,1613487572.1405873
33,1.0,0.0,1613487572.1699011
34,1.0,0.0,1613487572.2028115
35,1.0,0.0,1613487572.2308245
36,1.0,0.0,1613487572.2585456
37,1.0,0.0,1613487572.281025
38,1.0,0.0,1613487572.3092716
39,1.0,0.0,1613487572.3413436
40,1.0,0.0,1613487572.3713849
41,1.0,0.0,1613487572.4020805
42,1.0,0.0,1613487572.4309688
43,1.0,0.0,1613487572.4605584
44,1.0,0.0,1613487572.4821374
45,1.0,0.0,1613487572.51141
46,1.0,0.0,1613487572.5408685
47,1.0,0.0,1613487572.5712204
48,1.0,0.0,1613487572.5987577
49,1.0,0.0,1613487572.6317585
50,1.0,0.0,1613487572.6597269
51,1.0,0.0,1613487572.6812198
52,1.0,0.0,1613487572.7112753
53,1.0,0.0,1613487572.7398753
54,1.0,0.0,1613487572.770825
55,1.0,0.0,1613487572.7996185
56,1.0,0.0,1613487572.829034
57,1.0,0.0,1613487572.8581266
58,1.0,0.0,1613487572.88071
59,1.0,0.0,1613487572.9085565
60,1.0,0.0,1613487572.9370964
61,1.0,0.0,1613487572.9677713
62,1.0,0.0,1613487572.995587
63,1.0,0.0,1613487573.0253549
64,1.0,0.0,1613487573.053417
65,1.0,0.0,1613487573.07968
66,1.0,0.0,1613487573.1069908
67,1.0,0.0,1613487573.1353953
68,1.0,0.0,1613487573.1668744
69,1.0,0.0,1613487573.1965294
70,1.0,0.0,1613487573.2254565
71,1.0,0.0,1613487573.254412
72,1.0,0.0,1613487573.2795272
73,1.0,0.0,1613487573.3048832
74,1.0,0.0,1613487573.3358011
75,1.0,0.0,1613487573.367282
76,1.0,0.0,1613487573.3954551
77,1.0,0.0,1613487573.4279034
78,1.0,0.0,1613487573.4594457
79,1.0,0.0,1613487573.4821692
80,1.0,0.0,1613487573.5105464
81,1.0,0.0,1613487573.538785
82,1.0,0.0,1613487573.5756793
83,1.0,0.0,1613487573.6052852
84,1.0,0.0,1613487573.6342914
85,1.0,0.0,1613487573.6635907
86,1.0,0.0,1613487573.692029
87,1.0,0.0,1613487573.7205873
88,1.0,0.0,1613487573.7494776
89,1.0,0.0,1613487573.7810762
90,1.0,0.0,1613487573.8120384
91,1.0,0.0,1613487573.8413172
92,1.0,0.0,1613487573.8710163
93,1.0,0.0,1613487573.8943038
94,1.0,0.0,1613487573.9171917
95,1.0,0.0,1613487573.9480946
96,1.0,0.0,1613487573.9793932
97,1.0,0.0,1613487574.0117087
98,1.0,0.0,1613487574.0414748
99,1.0,0.0,1613487574.0716083
100,1.0,0.0,1613487574.0978086
101,1.0,0.0,1613487574.1192076
102,1.0,0.0,1613487574.1473825
103,1.0,0.0,1613487574.1804724
104,1.0,0.0,1613487574.2117975
105,1.0,0.0,1613487574.2420115
106,1.0,0.0,1613487574.2727273
107,1.0,0.0,1613487574.3031723
108,1.0,0.0,1613487574.324111
109,1.0,0.0,1613487574.3513193
110,1.0,0.0,1613487574.3808737
111,1.0,0.0,1613487574.4085891
112,1.0,0.0,1613487574.4383106
113,1.0,0.0,1613487574.4697518
114,1.0,0.0,1613487574.4975793
115,1.0,0.0,1613487574.524146
116,1.0,0.0,1613487574.5452683
117,1.0,0.0,1613487574.5783117
118,1.0,0.0,1613487574.6105616
119,1.0,0.0,1613487574.639503
120,1.0,0.0,1613487574.674245
121,1.0,0.0,1613487574.7065487
122,1.0,0.0,1613487574.7373679
123,1.0,0.0,1613487574.765596
124,1.0,0.0,1613487574.79789
125,1.0,0.0,1613487574.8286793
126,1.0,0.0,1613487574.8578646
127,1.0,0.0,1613487574.8897326
128,1.0,0.0,1613487574.922046
129,1.0,0.0,1613487574.9511604
130,1.0,0.0,1613487574.9812253
131,1.0,0.0,1613487575.0096178
132,1.0,0.0,1613487575.040985
133,1.0,0.0,1613487575.071019
134,1.0,0.0,1613487575.1008444
135,1.0,0.0,1613487575.1308975
136,1.0,0.0,1613487575.1597757
137,1.0,0.0,1613487575.1907787
138,1.0,0.0,1613487575.214681
139,1.0,0.0,1613487575.2363987
140,1.0,0.0,1613487575.2632484
141,1.0,0.0,1613487575.293455
142,1.0,0.0,1613487575.3211381
143,1.0,0.0,1613487575.3496447
144,1.0,0.0,1613487575.3783898
145,1.0,0.0,1613487575.4055624
146,1.0,0.0,1613487575.4301915
147,1.0,0.0,1613487575.451236
148,1.0,0.0,1613487575.4786463
149,1.0,0.0,1613487575.5099
150,1.0,0.0,1613487575.5424466
151,1.0,0.0,1613487575.5719514
152,1.0,0.0,1613487575.6030896
153,1.0,0.0,1613487575.6376865
154,1.0,0.0,1613487575.6609483
155,1.0,0.0,1613487575.684573
156,1.0,0.0,1613487575.7147975
157,1.0,0.0,1613487575.747916
158,1.0,0.0,1613487575.779877
159,1.0,0.0,1613487575.8117182
160,1.0,0.0,1613487575.841286
161,1.0,0.0,1613487575.868812
162,1.0,0.0,1613487575.8900735
163,1.0,0.0,1613487575.9180818
164,1.0,0.0,1613487575.9467084
165,1.0,0.0,1613487575.9772396
166,1.0,0.0,1613487576.0057237
167,1.0,0.0,1613487576.0342839
168,1.0,0.0,1613487576.064156
169,1.0,0.0,1613487576.0854952
170,1.0,0.0,1613487576.111907
171,1.0,0.0,1613487576.141858
172,1.0,0.0,1613487576.1726406
173,1.0,0.0,1613487576.2022715
174,1.0,0.0,1613487576.2336302
175,1.0,0.0,1613487576.2636962
176,1.0,0.0,1613487576.2914488
177,1.0,0.0,1613487576.314571
178,1.0,0.0,1613487576.3430562
179,1.0,0.0,1613487576.3771105
180,1.0,0.0,1613487576.4058213
181,1.0,0.0,1613487576.4386258
182,1.0,0.0,1613487576.4699802
183,1.0,0.0,1613487576.4940407
184,1.0,0.0,1613487576.5149963
185,1.0,0.0,1613487576.545043
186,1.0,0.0,1613487576.5730333
187,1.0,0.0,1613487576.605092
188,1.0,0.0,1613487576.6370275
189,1.0,0.0,1613487576.665049
190,1.0,0.0,1613487576.6965532
191,1.0,0.0,1613487576.724282
192,1.0,0.0,1613487576.757542
193,1.0,0.0,1613487576.78582
194,1.0,0.0,1613487576.8179326
195,1.0,0.0,1613487576.8489604
196,1.0,0.0,1613487576.8771899
197,1.0,0.0,1613487576.9077168
198,1.0,0.0,1613487576.935902
199,1.0,0.0,1613487576.9565609
200,1.0,0.0,1613487576.9863274
201,1.0,0.0,1613487577.0167768
202,1.0,0.0,1613487577.050736
203,1.0,0.0,1613487577.0868092
204,1.0,0.0,1613487577.1150048
205,1.0,0.0,1613487577.1454713
206,1.0,0.0,1613487577.1722224
207,1.0,0.0,1613487577.2018163
208,1.0,0.0,1613487577.2344782
209,1.0,0.0,1613487577.2618392
210,1.0,0.0,1613487577.2914717
211,1.0,0.0,1613487577.3240955
212,1.0,0.0,1613487577.349727
213,1.0,0.0,1613487577.3706136
214,1.0,0.0,1613487577.4008615
215,1.0,0.0,1613487577.433543
216,1.0,0.0,1613487577.463163
217,1.0,0.0,1613487577.491358
218,1.0,0.0,1613487577.5216453
219,1.0,0.0,1613487577.5538557
220,1.0,0.0,1613487577.5745385
221,1.0,0.0,1613487577.6035385
222,1.0,0.0,1613487577.6334388
223,1.0,0.0,1613487577.6653764
224,1.0,0.0,1613487577.6950302
225,1.0,0.0,1613487577.72386
226,1.0,0.0,1613487577.7523787
227,1.0,0.0,1613487577.779225
228,1.0,0.0,1613487577.800951
229,1.0,0.0,1613487577.8290415
230,1.0,0.0,1613487577.8610377
231,1.0,0.0,1613487577.8908944
232,1.0,0.0,1613487577.9198968
233,1.0,0.0,1613487577.9551737
234,1.0,1.0,1613487577.983308
235,1.0,1.0,1613487578.0056303
236,1.0,1.0,1613487578.035799
237,1.0,1.0,1613487578.0670428
238,1.0,1.0,1613487578.096688
239,1.0,1.0,1613487578.1276054
240,1.0,1.0,1613487578.1551616
241,1.0,1.0,1613487578.1839008
242,1.0,1.0,1613487578.2051
