,True Label,RF Time,Time
0,2.0,0.0,1612630429.3636496
1,2.0,0.0,1612630429.3827527
2,2.0,0.0,1612630429.399867
3,2.0,0.0,1612630429.4175735
4,2.0,0.0,1612630429.4381118
5,2.0,0.0,1612630429.460874
6,2.0,0.0,1612630429.4835377
7,2.0,0.0,1612630429.5075963
8,2.0,0.0,1612630429.5409617
9,2.0,0.0,1612630429.560226
10,2.0,0.0,1612630429.578318
11,2.0,0.0,1612630429.59605
12,2.0,0.0,1612630429.6148767
13,2.0,0.0,1612630429.6381016
14,2.0,0.0,1612630429.661791
15,2.0,0.0,1612630429.687487
16,2.0,0.0,1612630429.7086155
17,2.0,0.0,1612630429.727758
18,2.0,0.0,1612630429.7446291
19,2.0,0.0,1612630429.7625122
20,2.0,0.0,1612630429.7791426
21,2.0,0.0,1612630429.7959318
22,2.0,0.0,1612630429.8128357
23,2.0,0.0,1612630429.830543
24,2.0,0.0,1612630429.8524127
25,2.0,0.0,1612630429.8729408
26,2.0,0.0,1612630429.8921468
27,2.0,0.0,1612630429.9119902
28,2.0,0.0,1612630429.930662
29,2.0,0.0,1612630429.948344
30,2.0,0.0,1612630429.965
31,2.0,0.0,1612630429.982645
32,2.0,0.0,1612630430.000173
33,2.0,0.0,1612630430.0179863
34,2.0,0.0,1612630430.0386906
35,2.0,0.0,1612630430.0579185
36,2.0,0.0,1612630430.0771954
37,2.0,0.0,1612630430.0979655
38,2.0,0.0,1612630430.119215
39,2.0,0.0,1612630430.136348
40,2.0,0.0,1612630430.1530704
41,2.0,0.0,1612630430.1713457
42,2.0,0.0,1612630430.1879914
43,2.0,0.0,1612630430.2060227
44,2.0,0.0,1612630430.222621
45,2.0,0.0,1612630430.2447326
46,2.0,0.0,1612630430.265694
47,2.0,0.0,1612630430.2851593
48,2.0,0.0,1612630430.304155
49,2.0,0.0,1612630430.3249793
50,2.0,0.0,1612630430.3423512
51,2.0,0.0,1612630430.359639
52,2.0,0.0,1612630430.3773363
53,2.0,0.0,1612630430.3936837
54,2.0,0.0,1612630430.4113336
55,2.0,0.0,1612630430.430408
56,2.0,0.0,1612630430.4504893
57,2.0,0.0,1612630430.4710565
58,2.0,0.0,1612630430.4922898
59,2.0,0.0,1612630430.5133996
60,2.0,0.0,1612630430.5334349
61,2.0,0.0,1612630430.5504355
62,2.0,0.0,1612630430.5677433
63,2.0,0.0,1612630430.5844169
64,2.0,0.0,1612630430.6012228
65,2.0,0.0,1612630430.6178048
66,2.0,0.0,1612630430.6340275
67,2.0,0.0,1612630430.6544013
68,2.0,0.0,1612630430.6756697
69,2.0,0.0,1612630430.694245
70,2.0,0.0,1612630430.7152882
71,2.0,0.0,1612630430.7338536
72,2.0,0.0,1612630430.7515
73,2.0,0.0,1612630430.7680368
74,2.0,0.0,1612630430.7852585
75,2.0,0.0,1612630430.8026607
76,2.0,0.0,1612630430.8197963
77,2.0,0.0,1612630430.8367498
78,2.0,0.0,1612630430.857181
79,2.0,0.0,1612630430.8760211
80,2.0,0.0,1612630430.8976939
81,2.0,0.0,1612630430.9174345
82,2.0,0.0,1612630430.9356627
83,2.0,0.0,1612630430.9532187
84,2.0,0.0,1612630430.9708133
85,2.0,0.0,1612630430.98781
86,2.0,0.0,1612630431.0043614
87,2.0,0.0,1612630431.0210302
88,2.0,0.0,1612630431.0383682
89,2.0,0.0,1612630431.0555768
90,2.0,0.0,1612630431.075767
91,2.0,0.0,1612630431.093349
92,2.0,0.0,1612630431.1140041
93,2.0,0.0,1612630431.1346245
94,2.0,0.0,1612630431.1563096
95,2.0,0.0,1612630431.17379
96,2.0,0.0,1612630431.1914108
97,2.0,0.0,1612630431.2079706
98,2.0,0.0,1612630431.2245383
99,2.0,0.0,1612630431.2421405
100,2.0,0.0,1612630431.2589755
101,2.0,0.0,1612630431.2790122
102,2.0,0.0,1612630431.300338
103,2.0,0.0,1612630431.3224206
104,2.0,0.0,1612630431.3412771
105,2.0,0.0,1612630431.361115
106,2.0,0.0,1612630431.3786082
107,2.0,0.0,1612630431.395868
108,2.0,0.0,1612630431.4133077
109,2.0,0.0,1612630431.4309578
110,2.0,0.0,1612630431.447919
111,2.0,0.0,1612630431.4678805
112,2.0,0.0,1612630431.4862487
113,2.0,0.0,1612630431.5059588
114,2.0,0.0,1612630431.5256894
115,2.0,0.0,1612630431.5450351
116,2.0,0.0,1612630431.5641115
117,2.0,0.0,1612630431.5820825
118,2.0,0.0,1612630431.600217
119,2.0,0.0,1612630431.617153
120,2.0,0.0,1612630431.633548
121,2.0,0.0,1612630431.6499734
122,2.0,0.0,1612630431.6702821
123,2.0,0.0,1612630431.6879258
124,2.0,0.0,1612630431.7097726
125,2.0,0.0,1612630431.7311542
126,2.0,0.0,1612630431.7513344
127,2.0,0.0,1612630431.7697375
128,2.0,0.0,1612630431.786568
129,2.0,0.0,1612630431.8029108
130,2.0,0.0,1612630431.8200257
131,2.0,0.0,1612630431.836854
132,2.0,0.0,1612630431.8536136
133,2.0,0.0,1612630431.8752832
134,2.0,0.0,1612630431.8949602
135,2.0,0.0,1612630431.9133081
136,2.0,0.0,1612630431.933661
137,2.0,0.0,1612630431.9542513
138,2.0,0.0,1612630431.9737375
139,2.0,0.0,1612630431.9902043
140,2.0,0.0,1612630432.0081108
141,2.0,0.0,1612630432.0240338
142,2.0,0.0,1612630432.04127
143,2.0,0.0,1612630432.0578117
144,2.0,0.0,1612630432.0786922
145,2.0,0.0,1612630432.097967
146,2.0,0.0,1612630432.117887
147,2.0,0.0,1612630432.1392632
148,2.0,0.0,1612630432.158618
149,2.0,0.0,1612630432.1778915
150,2.0,0.0,1612630432.195653
151,2.0,0.0,1612630432.2129579
152,2.0,0.0,1612630432.2294052
153,2.0,0.0,1612630432.2459018
154,2.0,0.0,1612630432.2626255
155,2.0,0.0,1612630432.2793775
156,2.0,0.0,1612630432.3014853
157,2.0,0.0,1612630432.3219347
158,2.0,0.0,1612630432.3413138
159,2.0,0.0,1612630432.361377
160,2.0,0.0,1612630432.3809886
161,2.0,0.0,1612630432.399376
162,2.0,0.0,1612630432.41755
163,2.0,0.0,1612630432.434947
164,2.0,0.0,1612630432.4527733
165,2.0,0.0,1612630432.469613
166,2.0,0.0,1612630432.4895055
167,2.0,0.0,1612630432.5085971
