,True Label,RF Time,Time
0,1.0,0.0,1612630915.545931
1,1.0,0.0,1612630915.5667102
2,1.0,0.0,1612630915.5851154
3,1.0,0.0,1612630915.603036
4,1.0,0.0,1612630915.6280038
5,1.0,0.0,1612630915.649456
6,1.0,0.0,1612630915.673088
7,1.0,0.0,1612630915.6958404
8,1.0,0.0,1612630915.7173896
9,1.0,0.0,1612630915.7361143
10,1.0,0.0,1612630915.7544034
11,1.0,0.0,1612630915.7724128
12,1.0,0.0,1612630915.7897375
13,1.0,0.0,1612630915.8069162
14,1.0,0.0,1612630915.8316712
15,1.0,0.0,1612630915.852763
16,1.0,0.0,1612630915.879791
17,1.0,0.0,1612630915.9046993
18,1.0,0.0,1612630915.9250197
19,1.0,0.0,1612630915.9426076
20,1.0,0.0,1612630915.9602733
21,1.0,0.0,1612630915.9766889
22,1.0,0.0,1612630915.993761
23,1.0,0.0,1612630916.010893
24,1.0,0.0,1612630916.0314329
25,1.0,0.0,1612630916.050507
26,1.0,0.0,1612630916.071403
27,1.0,0.0,1612630916.0918972
28,1.0,0.0,1612630916.112312
29,1.0,0.0,1612630916.1300347
30,1.0,0.0,1612630916.1467977
31,1.0,0.0,1612630916.1644228
32,1.0,0.0,1612630916.1813118
33,1.0,0.0,1612630916.198186
34,1.0,0.0,1612630916.2150679
35,1.0,0.0,1612630916.2353024
36,1.0,0.0,1612630916.254407
37,1.0,0.0,1612630916.2735121
38,1.0,0.0,1612630916.2934787
39,1.0,0.0,1612630916.3128974
40,1.0,0.0,1612630916.3324165
41,1.0,0.0,1612630916.3497436
42,1.0,0.0,1612630916.3669088
43,1.0,0.0,1612630916.385612
44,1.0,0.0,1612630916.4024103
45,1.0,0.0,1612630916.4195166
46,1.0,0.0,1612630916.4396715
47,1.0,0.0,1612630916.460143
48,1.0,0.0,1612630916.481226
49,1.0,0.0,1612630916.5030773
50,1.0,0.0,1612630916.5209055
51,1.0,0.0,1612630916.5398498
52,1.0,0.0,1612630916.5584135
53,1.0,0.0,1612630916.5753446
54,1.0,0.0,1612630916.593167
55,1.0,0.0,1612630916.6099546
56,1.0,0.0,1612630916.6268046
57,1.0,0.0,1612630916.645189
58,1.0,0.0,1612630916.6636145
59,1.0,0.0,1612630916.6855004
60,1.0,0.0,1612630916.7069745
61,1.0,0.0,1612630916.7283645
62,1.0,0.0,1612630916.7463243
63,1.0,0.0,1612630916.7641876
64,1.0,0.0,1612630916.780106
65,1.0,0.0,1612630916.7981193
66,1.0,0.0,1612630916.814558
67,1.0,0.0,1612630916.8315885
68,1.0,0.0,1612630916.8483477
69,1.0,0.0,1612630916.8682737
70,1.0,0.0,1612630916.8863428
71,1.0,0.0,1612630916.9068222
72,1.0,0.0,1612630916.9270163
73,1.0,0.0,1612630916.9464114
74,1.0,0.0,1612630916.9637463
75,1.0,0.0,1612630916.981527
76,1.0,0.0,1612630916.9982622
77,1.0,0.0,1612630917.014806
78,1.0,0.0,1612630917.033021
79,1.0,0.0,1612630917.0510798
80,1.0,0.0,1612630917.070967
81,1.0,0.0,1612630917.088903
82,1.0,0.0,1612630917.1101778
83,1.0,0.0,1612630917.1312752
84,1.0,0.0,1612630917.1503284
85,1.0,0.0,1612630917.1686013
86,1.0,0.0,1612630917.1860383
87,1.0,0.0,1612630917.2030861
88,1.0,0.0,1612630917.219254
89,1.0,0.0,1612630917.2360816
90,1.0,0.0,1612630917.2533052
91,1.0,0.0,1612630917.2746277
92,1.0,0.0,1612630917.294901
93,1.0,0.0,1612630917.313926
94,1.0,0.0,1612630917.3345566
95,1.0,0.0,1612630917.354142
96,1.0,0.0,1612630917.3720999
97,1.0,0.0,1612630917.390014
98,1.0,0.0,1612630917.4080653
99,1.0,0.0,1612630917.42462
100,1.0,0.0,1612630917.4411025
101,1.0,0.0,1612630917.4569082
102,1.0,0.0,1612630917.4762616
103,1.0,0.0,1612630917.4964926
104,1.0,0.0,1612630917.5177639
105,1.0,0.0,1612630917.5361264
106,1.0,0.0,1612630917.5554736
107,1.0,0.0,1612630917.5742087
108,1.0,0.0,1612630917.5911033
109,1.0,0.0,1612630917.6083074
110,1.0,0.0,1612630917.6253595
111,1.0,0.0,1612630917.6429038
112,1.0,0.0,1612630917.6603749
113,1.0,0.0,1612630917.680977
114,1.0,0.0,1612630917.7024148
115,1.0,0.0,1612630917.724244
116,1.0,0.0,1612630917.744416
117,1.0,0.0,1612630917.7634337
118,1.0,0.0,1612630917.7830827
119,1.0,0.0,1612630917.7999878
120,1.0,0.0,1612630917.8179102
121,1.0,0.0,1612630917.8343499
122,1.0,0.0,1612630917.8510733
123,1.0,0.0,1612630917.8686676
124,1.0,0.0,1612630917.8873959
125,1.0,0.0,1612630917.9070473
126,1.0,0.0,1612630917.928817
127,1.0,0.0,1612630917.949986
128,1.0,0.0,1612630917.9720337
129,1.0,0.0,1612630917.9908602
130,1.0,0.0,1612630918.0094035
131,1.0,0.0,1612630918.028388
132,1.0,0.0,1612630918.046776
133,1.0,0.0,1612630918.0634778
134,1.0,0.0,1612630918.0801303
135,1.0,0.0,1612630918.1003013
136,1.0,0.0,1612630918.1191695
137,1.0,0.0,1612630918.139586
138,1.0,0.0,1612630918.1600397
139,1.0,0.0,1612630918.1812503
140,1.0,0.0,1612630918.200321
141,1.0,0.0,1612630918.2175536
142,1.0,0.0,1612630918.2336168
143,1.0,0.0,1612630918.251476
144,1.0,0.0,1612630918.2686796
145,1.0,0.0,1612630918.2863834
146,1.0,0.0,1612630918.3066027
147,1.0,0.0,1612630918.3251967
148,1.0,0.0,1612630918.3459065
149,1.0,0.0,1612630918.366583
150,1.0,0.0,1612630918.3877156
151,1.0,0.0,1612630918.407952
152,1.0,0.0,1612630918.4258783
153,1.0,0.0,1612630918.4426694
154,1.0,0.0,1612630918.4610772
155,1.0,0.0,1612630918.480007
156,1.0,0.0,1612630918.498472
157,1.0,0.0,1612630918.5160801
158,1.0,0.0,1612630918.5352755
159,1.0,0.0,1612630918.555468
160,1.0,0.0,1612630918.5764997
161,1.0,0.0,1612630918.5963273
162,1.0,0.0,1612630918.6153545
163,1.0,0.0,1612630918.6373954
164,1.0,0.0,1612630918.6544318
165,1.0,0.0,1612630918.6704488
166,1.0,0.0,1612630918.6883202
167,1.0,0.0,1612630918.7059934
168,1.0,0.0,1612630918.723064
169,1.0,0.0,1612630918.742707
170,1.0,0.0,1612630918.761607
171,1.0,0.0,1612630918.7821078
172,1.0,0.0,1612630918.8018875
173,1.0,0.0,1612630918.8214452
174,1.0,0.0,1612630918.8408797
175,1.0,0.0,1612630918.8568354
176,1.0,0.0,1612630918.8749046
177,1.0,0.0,1612630918.8921611
178,1.0,0.0,1612630918.9099193
179,1.0,0.0,1612630918.9281764
180,1.0,0.0,1612630918.9490826
181,1.0,0.0,1612630918.9706063
182,1.0,0.0,1612630918.9912972
183,1.0,0.0,1612630919.0130832
184,1.0,0.0,1612630919.0335577
185,1.0,0.0,1612630919.0507061
186,1.0,0.0,1612630919.0684407
187,1.0,0.0,1612630919.0856128
188,1.0,0.0,1612630919.1030562
189,1.0,0.0,1612630919.1195736
190,1.0,0.0,1612630919.1359613
191,1.0,0.0,1612630919.1560123
192,1.0,0.0,1612630919.174426
193,1.0,0.0,1612630919.1961668
194,1.0,0.0,1612630919.2165504
195,1.0,0.0,1612630919.2354748
196,1.0,0.0,1612630919.253804
197,1.0,0.0,1612630919.2722776
198,1.0,0.0,1612630919.2896416
199,1.0,0.0,1612630919.307156
200,1.0,0.0,1612630919.323972
201,1.0,0.0,1612630919.340275
202,1.0,0.0,1612630919.356446
203,1.0,0.0,1612630919.378512
204,1.0,0.0,1612630919.3993895
205,1.0,0.0,1612630919.4196582
206,1.0,0.0,1612630919.4396632
207,1.0,0.0,1612630919.4589248
208,1.0,0.0,1612630919.4762197
209,1.0,0.0,1612630919.4921782
210,1.0,0.0,1612630919.5093465
211,1.0,0.0,1612630919.5267065
212,1.0,0.0,1612630919.5458071
213,1.0,0.0,1612630919.5636075
214,1.0,0.0,1612630919.5858755
215,1.0,0.0,1612630919.6054852
216,1.0,0.0,1612630919.625633
217,1.0,0.0,1612630919.65138
218,1.0,0.0,1612630919.6699543
219,1.0,0.0,1612630919.6887572
220,1.0,0.0,1612630919.7068143
221,1.0,0.0,1612630919.7254333
222,1.0,0.0,1612630919.7424777
223,1.0,0.0,1612630919.7594745
224,1.0,0.0,1612630919.7791488
225,1.0,0.0,1612630919.7997622
226,1.0,0.0,1612630919.8206482
227,1.0,0.0,1612630919.8389184
228,1.0,0.0,1612630919.860953
229,1.0,0.0,1612630919.8797455
230,1.0,0.0,1612630919.8970165
231,1.0,0.0,1612630919.9143662
232,1.0,0.0,1612630919.9319859
233,1.0,0.0,1612630919.9482458
234,1.0,0.0,1612630919.965145
235,1.0,0.0,1612630919.9852066
236,1.0,0.0,1612630920.00534
237,1.0,0.0,1612630920.026619
238,1.0,0.0,1612630920.0494015
239,1.0,0.0,1612630920.0688865
240,1.0,0.0,1612630920.0874262
241,1.0,0.0,1612630920.1043308
242,1.0,0.0,1612630920.1215177
243,1.0,0.0,1612630920.1390553
244,1.0,0.0,1612630920.1569364
245,1.0,0.0,1612630920.173311
246,1.0,0.0,1612630920.194342
247,1.0,0.0,1612630920.2118013
248,1.0,0.0,1612630920.2317243
249,1.0,0.0,1612630920.251979
250,1.0,0.0,1612630920.2719538
251,1.0,0.0,1612630920.2899666
252,1.0,0.0,1612630920.3068779
253,1.0,0.0,1612630920.323558
254,1.0,0.0,1612630920.341619
255,1.0,0.0,1612630920.3592775
256,1.0,0.0,1612630920.3769035
257,1.0,0.0,1612630920.3956172
258,1.0,0.0,1612630920.415088
259,1.0,0.0,1612630920.434943
260,1.0,0.0,1612630920.4544458
261,1.0,0.0,1612630920.4733686
262,1.0,0.0,1612630920.4929543
263,1.0,0.0,1612630920.5110745
264,1.0,0.0,1612630920.5295799
265,1.0,0.0,1612630920.5466468
266,1.0,0.0,1612630920.5641015
267,1.0,0.0,1612630920.5800965
268,1.0,0.0,1612630920.5977633
269,1.0,0.0,1612630920.6170175
270,1.0,0.0,1612630920.6389081
271,1.0,0.0,1612630920.661568
272,1.0,0.0,1612630920.6812484
273,1.0,0.0,1612630920.7000794
274,1.0,0.0,1612630920.7189448
275,1.0,0.0,1612630920.736514
276,1.0,0.0,1612630920.7546113
277,1.0,0.0,1612630920.772956
278,1.0,0.0,1612630920.7898355
279,1.0,0.0,1612630920.8094766
280,1.0,0.0,1612630920.8287826
281,1.0,0.0,1612630920.8490124
282,1.0,0.0,1612630920.870139
283,1.0,0.0,1612630920.89032
284,1.0,0.0,1612630920.9091787
285,1.0,0.0,1612630920.9272544
286,1.0,0.0,1612630920.9454916
287,1.0,0.0,1612630920.9630327
288,1.0,0.0,1612630920.9812367
289,1.0,0.0,1612630920.9971936
290,1.0,0.0,1612630921.0137532
291,1.0,0.0,1612630921.034493
292,1.0,0.0,1612630921.0551848
293,1.0,0.0,1612630921.0751114
294,1.0,0.0,1612630921.094035
295,1.0,0.0,1612630921.1152308
296,1.0,0.0,1612630921.1327672
297,1.0,0.0,1612630921.1495748
298,1.0,0.0,1612630921.166184
299,1.0,0.0,1612630921.184348
300,1.0,0.0,1612630921.2002678
301,1.0,0.0,1612630921.2176406
302,1.0,0.0,1612630921.237779
303,1.0,0.0,1612630921.2580934
304,1.0,0.0,1612630921.2766094
305,1.0,0.0,1612630921.297646
306,1.0,0.0,1612630921.3179355
307,1.0,0.0,1612630921.336212
308,1.0,0.0,1612630921.353141
309,1.0,0.0,1612630921.370306
310,1.0,0.0,1612630921.388079
311,1.0,0.0,1612630921.4057744
312,1.0,0.0,1612630921.424726
313,1.0,0.0,1612630921.4444275
314,1.0,0.0,1612630921.4660933
315,1.0,0.0,1612630921.487781
316,1.0,0.0,1612630921.506756
317,1.0,0.0,1612630921.5265572
318,1.0,0.0,1612630921.545197
319,1.0,0.0,1612630921.5625963
320,1.0,0.0,1612630921.5807762
321,1.0,0.0,1612630921.5994506
322,1.0,0.0,1612630921.6168332
323,1.0,0.0,1612630921.6332722
324,1.0,0.0,1612630921.6536262
325,1.0,0.0,1612630921.6715906
326,1.0,0.0,1612630921.691722
327,1.0,0.0,1612630921.7116888
328,1.0,0.0,1612630921.7322211
329,1.0,0.0,1612630921.7499247
330,1.0,0.0,1612630921.7681055
331,1.0,0.0,1612630921.7860415
332,1.0,0.0,1612630921.8034377
333,1.0,0.0,1612630921.821066
334,1.0,0.0,1612630921.8384428
335,1.0,0.0,1612630921.8587635
336,1.0,0.0,1612630921.8798478
337,1.0,0.0,1612630921.9000905
338,1.0,0.0,1612630921.9201224
339,1.0,0.0,1612630921.9391606
340,1.0,0.0,1612630921.9580715
341,1.0,0.0,1612630921.975132
342,1.0,0.0,1612630921.9918382
343,1.0,0.0,1612630922.0087304
344,1.0,0.0,1612630922.0280182
345,1.0,0.0,1612630922.047546
346,1.0,0.0,1612630922.0659602
347,1.0,0.0,1612630922.0859518
348,1.0,0.0,1612630922.1069353
349,1.0,0.0,1612630922.1280746
350,1.0,0.0,1612630922.1476638
351,1.0,0.0,1612630922.1665757
352,1.0,0.0,1612630922.1839383
353,1.0,0.0,1612630922.2011058
354,1.0,0.0,1612630922.2178543
355,1.0,0.0,1612630922.234814
356,1.0,0.0,1612630922.25125
357,1.0,0.0,1612630922.2716172
358,1.0,0.0,1612630922.2917063
359,1.0,0.0,1612630922.312722
360,1.0,0.0,1612630922.3312523
361,1.0,0.0,1612630922.3513706
362,1.0,0.0,1612630922.3683555
363,1.0,0.0,1612630922.3863952
364,1.0,0.0,1612630922.403059
365,1.0,0.0,1612630922.420247
366,1.0,0.0,1612630922.4389453
367,1.0,0.0,1612630922.455971
368,1.0,0.0,1612630922.4754634
369,1.0,0.0,1612630922.4955645
370,1.0,0.0,1612630922.5148525
371,1.0,0.0,1612630922.5343888
372,1.0,0.0,1612630922.5544102
373,1.0,0.0,1612630922.5723972
374,1.0,0.0,1612630922.59023
375,1.0,0.0,1612630922.60812
376,1.0,0.0,1612630922.6250196
377,1.0,0.0,1612630922.6420023
378,1.0,0.0,1612630922.6600957
379,1.0,0.0,1612630922.680429
380,1.0,0.0,1612630922.6997616
381,1.0,0.0,1612630922.719538
382,1.0,0.0,1612630922.7402592
383,1.0,0.0,1612630922.759139
384,1.0,0.0,1612630922.7784991
385,1.0,0.0,1612630922.7959151
386,1.0,0.0,1612630922.8138452
387,1.0,0.0,1612630922.8298523
388,1.0,0.0,1612630922.8480458
389,1.0,0.0,1612630922.8640842
390,1.0,1.0,1612630922.883514
391,1.0,1.0,1612630922.9041088
392,1.0,1.0,1612630922.9248962
